# Time_Step Physical_Time Residual Converged
   112 1.120000e-03 4.736447e+01 0
   113 1.130000e-03 4.789974e+01 0
   114 1.140000e-03 4.844167e+01 0
   115 1.150000e-03 4.899039e+01 0
   116 1.160000e-03 4.954591e+01 0
   117 1.170000e-03 5.010824e+01 0
   118 1.180000e-03 5.067756e+01 0
   119 1.190000e-03 5.125395e+01 0
   120 1.200000e-03 5.183742e+01 0
   121 1.210000e-03 5.242802e+01 0
   122 1.220000e-03 5.302588e+01 0
   123 1.230000e-03 5.363101e+01 0
   124 1.240000e-03 5.424347e+01 0
   125 1.250000e-03 5.490213e+01 0
   126 1.260000e-03 5.555592e+01 0
   127 1.270000e-03 5.621667e+01 0
   128 1.280000e-03 5.688486e+01 0
   129 1.290000e-03 5.756012e+01 0
   130 1.300000e-03 5.824313e+01 0
   131 1.310000e-03 5.893351e+01 0
   132 1.320000e-03 5.963169e+01 0
   133 1.330000e-03 6.033733e+01 0
   134 1.340000e-03 6.105088e+01 0
   135 1.350000e-03 6.177208e+01 0
   136 1.360000e-03 6.250108e+01 0
   137 1.370000e-03 6.323792e+01 0
   138 1.380000e-03 6.398264e+01 0
   139 1.390000e-03 6.473527e+01 0
   140 1.400000e-03 6.549581e+01 0
   141 1.410000e-03 6.626443e+01 0
   142 1.420000e-03 6.704097e+01 0
   143 1.430000e-03 6.782549e+01 0
   144 1.440000e-03 6.861805e+01 0
   145 1.450000e-03 6.941873e+01 0
   146 1.460000e-03 7.022766e+01 0
   147 1.470000e-03 7.104440e+01 0
   148 1.480000e-03 7.186931e+01 0
   149 1.490000e-03 7.270260e+01 0
   150 1.500000e-03 7.354359e+01 0
   151 1.510000e-03 7.439292e+01 0
   152 1.520000e-03 7.525035e+01 0
   153 1.530000e-03 7.611589e+01 0
   154 1.540000e-03 7.698966e+01 0
   155 1.550000e-03 7.787162e+01 0
   156 1.560000e-03 7.876120e+01 0
   157 1.570000e-03 7.965909e+01 0
   158 1.580000e-03 8.056516e+01 0
   159 1.590000e-03 8.147933e+01 0
   160 1.600000e-03 8.240122e+01 0
   161 1.610000e-03 8.351286e+01 0
   162 1.620000e-03 8.450074e+01 0
   163 1.630000e-03 8.549762e+01 0
   164 1.640000e-03 8.650427e+01 0
   165 1.650000e-03 8.752040e+01 0
   166 1.660000e-03 8.854612e+01 0
   167 1.670000e-03 8.958246e+01 0
   168 1.680000e-03 9.062843e+01 0
   169 1.690000e-03 9.168566e+01 0
   170 1.700000e-03 9.275296e+01 0
   171 1.710000e-03 9.382874e+01 0
   172 1.720000e-03 9.491332e+01 0
   173 1.730000e-03 9.600584e+01 0
   174 1.740000e-03 9.710521e+01 0
   175 1.750000e-03 9.815656e+01 0
   176 1.760000e-03 9.921937e+01 0
   177 1.770000e-03 1.002819e+02 0
   178 1.780000e-03 1.013114e+02 0
   179 1.790000e-03 1.023436e+02 0
   180 1.800000e-03 1.033727e+02 0
   181 1.810000e-03 1.043983e+02 0
   182 1.820000e-03 1.054380e+02 0
   183 1.830000e-03 1.069051e+02 0
   184 1.840000e-03 1.083854e+02 0
   185 1.850000e-03 1.099333e+02 0
   186 1.860000e-03 1.114921e+02 0
   187 1.870000e-03 1.130617e+02 0
   188 1.880000e-03 1.146409e+02 0
   189 1.890000e-03 1.162312e+02 0
   190 1.900000e-03 1.172246e+02 0
   191 1.910000e-03 1.187912e+02 0
   192 1.920000e-03 1.203653e+02 0
   193 1.930000e-03 1.219461e+02 0
   194 1.940000e-03 1.235649e+02 0
   195 1.950000e-03 1.251952e+02 0
   196 1.960000e-03 1.268735e+02 0
   197 1.970000e-03 1.284778e+02 0
   198 1.980000e-03 1.300762e+02 0
   199 1.990000e-03 1.316672e+02 0
